Metric,Average,Std Dev,Min,Max
Train MAE H1,0.000147,0.000012,0.000132,0.000163
Train MAE H2,0.000153,0.000026,0.000128,0.000189
Train MAE H3,0.000133,0.000014,0.000118,0.000151
Train MAE H4,0.000144,0.000023,0.000113,0.000167
Train MAE H5,0.000155,0.000023,0.000123,0.000176
Train MAE H6,0.000148,0.000017,0.000128,0.000168
Train R2 H1,0.999996,0.000000,0.999996,0.999996
Train R2 H2,0.999996,0.000001,0.999995,0.999997
Train R2 H3,0.999997,0.000001,0.999996,0.999997
Train R2 H4,0.999996,0.000001,0.999996,0.999997
Train R2 H5,0.999996,0.000001,0.999995,0.999997
Train R2 H6,0.999996,0.000001,0.999994,0.999997
Train Uncertainty H1,0.000113,0.000002,0.000111,0.000116
Train Uncertainty H2,0.000134,0.000004,0.000131,0.000141
Train Uncertainty H3,0.000151,0.000001,0.000150,0.000152
Train Uncertainty H4,0.000169,0.000001,0.000167,0.000170
Train Uncertainty H5,0.000185,0.000005,0.000178,0.000190
Train Uncertainty H6,0.000196,0.000006,0.000189,0.000204
Train SNR H1,10889.543945,216.704636,10599.435547,11120.150391
Train SNR H2,9193.288086,296.620178,8774.838867,9428.024414
Train SNR H3,8187.158691,67.169289,8092.334961,8239.462891
Train SNR H4,7308.208984,54.549553,7235.160645,7366.213867
Train SNR H5,6684.736816,187.356903,6499.214844,6941.327637
Train SNR H6,6299.936035,193.549118,6041.726562,6507.703125
Validation MAE H1,0.000094,0.000017,0.000071,0.000113
Validation MAE H2,0.000097,0.000032,0.000066,0.000141
Validation MAE H3,0.000088,0.000012,0.000073,0.000103
Validation MAE H4,0.000099,0.000016,0.000078,0.000116
Validation MAE H5,0.000110,0.000020,0.000084,0.000133
Validation MAE H6,0.000106,0.000010,0.000094,0.000118
Validation R2 H1,0.999981,0.000005,0.999975,0.999986
Validation R2 H2,0.999978,0.000013,0.999961,0.999990
Validation R2 H3,0.999982,0.000004,0.999977,0.999987
Validation R2 H4,0.999978,0.000006,0.999972,0.999986
Validation R2 H5,0.999973,0.000009,0.999963,0.999984
Validation R2 H6,0.999974,0.000005,0.999967,0.999980
Validation Uncertainty H1,0.000105,0.000003,0.000101,0.000109
Validation Uncertainty H2,0.000123,0.000005,0.000117,0.000129
Validation Uncertainty H3,0.000136,0.000001,0.000136,0.000138
Validation Uncertainty H4,0.000151,0.000002,0.000148,0.000153
Validation Uncertainty H5,0.000163,0.000007,0.000153,0.000168
Validation Uncertainty H6,0.000177,0.000003,0.000175,0.000180
Validation SNR H1,11409.492188,338.164459,10981.945312,11808.833984
Validation SNR H2,9750.245117,378.538300,9281.649414,10208.708984
Validation SNR H3,8755.855469,49.054283,8686.516602,8792.407227
Validation SNR H4,7903.220215,121.463310,7809.401367,8074.742676
Validation SNR H5,7340.953125,313.744110,7097.264648,7783.913086
Validation SNR H6,6753.560059,95.008415,6619.251953,6824.024414
Test MAE H1,0.000092,0.000026,0.000055,0.000116
Test MAE H2,0.000094,0.000023,0.000066,0.000123
Test MAE H3,0.000082,0.000010,0.000068,0.000093
Test MAE H4,0.000089,0.000011,0.000073,0.000099
Test MAE H5,0.000098,0.000019,0.000073,0.000118
Test MAE H6,0.000093,0.000006,0.000085,0.000098
Test R2 H1,0.999928,0.000031,0.999900,0.999970
Test R2 H2,0.999919,0.000032,0.999876,0.999954
Test R2 H3,0.999938,0.000010,0.999926,0.999951
Test R2 H4,0.999928,0.000016,0.999914,0.999951
Test R2 H5,0.999911,0.000030,0.999876,0.999950
Test R2 H6,0.999920,0.000007,0.999913,0.999930
Test Uncertainty H1,0.000085,0.000004,0.000082,0.000091
Test Uncertainty H2,0.000097,0.000004,0.000092,0.000101
Test Uncertainty H3,0.000107,0.000001,0.000106,0.000109
Test Uncertainty H4,0.000117,0.000003,0.000114,0.000120
Test Uncertainty H5,0.000126,0.000006,0.000119,0.000133
Test Uncertainty H6,0.000132,0.000003,0.000129,0.000135
Test SNR H1,13169.098633,572.158997,12375.663086,13703.271484
Test SNR H2,11644.363281,465.485901,11122.264648,12252.652344
Test SNR H3,10463.160156,134.135635,10320.484375,10642.762695
Test SNR H4,9579.148438,218.763062,9325.347656,9859.263672
Test SNR H5,8944.699219,414.762085,8462.632812,9475.128906
Test SNR H6,8518.647461,163.769440,8340.459961,8735.872070
